_id,name,version,release_date,license,license_classifier,license_clean,license_clean_source,label
640702b32668befcf8fe9b0c,mypy-boto3-meteringmarketplace,1.17.78,2021/5/21,MIT License,MIT,MIT,1,1
640701ed2668befcf88a1e7b,matbench-genmetrics,0.2.1,2022/7/29,MIT,,MIT,1,1
640702592668befcf8e9186c,sqlalchemy-dremio,1.2.0,2021/8/20,Apache Software License,Apache-2.0,Apache-2.0,1,1
640701f72668befcf89346f8,neo4j-doc-manager,0.1.2,2016/6/3,Apache Software License,Apache-2.0,Apache-2.0,1,1
640701892668befcf833ed25,cirq-dev,0.6.0.dev20191012010346,2019/10/12,Apache 2,,Apache-2.0,1,1
640701c82668befcf86a8d86,jina,2.0.5.dev12,2021/7/8,Apache 2.0,Apache-2.0,Apache-2.0,1,1
640702122668befcf8aa14b9,cdktf-cdktf-provider-local,0.2.85,2021/12/27,MPL-2.0,,MPL-2.0,1,1
6407020a2668befcf8a39b27,minitage.paste,1.3.157,2010/3/12,BSD,BSD-3-Clause,BSD-3-Clause,1,1
640701f32668befcf88f5035,hacs-frontend,2.02E+13,2019/12/22,,,Unrecognizable,,1
640702612668befcf8efe281,mypy-boto3-dynamodb,1.10.43.0,2019/12/19,MIT License,MIT,MIT,1,1
640702832668befcf8fb8636,mypy-boto3-health,1.17.58.0,2021/4/27,MIT License,MIT,MIT,1,1
640701d52668befcf87585a3,dj-paypal,0.12.0,2019/2/13,,MIT,MIT,2,1
640702072668befcf8a13dba,pulumi-kubernetes,3.0.0a1643149517,2022/1/25,Apache-2.0,,Apache-2.0,1,1
640701e52668befcf8833dca,fcbf,0.1.1,2022/9/21,MIT,MIT,MIT,1,1
640702262668befcf8bc5275,python-flax-id,1.0.0,2018/4/24,Other/Proprietary License,Other,Unrecognizable,,1
640701bc2668befcf8605bb8,flopt,0.5.1,2021/11/12,MIT,MIT,MIT,1,1
640702102668befcf8a86915,onegov.applications,2018.2.11,2018/2/13,GPLv2,GPL-2.0-only,GPL-2.0-only,1,1
640701a52668befcf84c4862,weatherinfo,1.07,2020/8/5,MIT,MIT,MIT,1,1
640701cf2668befcf87032f1,disnake-jishaku,2.6.1,2021/11/18,MIT,MIT,MIT,1,1
640701a52668befcf84c6654,ae-literal,0.0.5,2019/10/12,,GPL-3.0-or-later,GPL-3.0-or-later,2,1
640702592668befcf8e88717,sphinx-autodoc-typehints,1.0.3,2015/11/19,MIT,MIT,MIT,1,1
640701992668befcf8414fe1,click-web,0.6.6,2019/2/21,MIT,MIT,MIT,1,1
640702312668befcf8c57c4e,pytest-mesh,1.0.10,2022/7/19,,,Unrecognizable,,1
640702662668befcf8f3c677,webgui-jupyter-widgets,0.1.6,2021/9/9,LGPLv2.1,LGPL-2.1-only,LGPL-2.1-only,1,1
640701c62668befcf8687f6e,flowmachine,1.4.0.post0.dev112,2020/4/6,,MPL-2.0,MPL-2.0,2,1
