package,version,date,license,license_type
boto3,0.0.1,2014-11-11 20:30:40.057000+00:00,Apache-2.0,Permissive
urllib3,0.2,2009-12-11 08:47:22.568000+00:00,MIT,Permissive
requests,0.2.0,2011-02-14 08:49:42.641000+00:00,ISC,Permissive
requests,1.0.0,2012-12-17 15:00:05.110000+00:00,Apache-2.0,Permissive
botocore,0.4.1,2012-12-21 18:16:05.356000+00:00,MIT,Permissive
botocore,0.33.0,2014-02-06 19:44:03.933000+00:00,Apache-2.0,Permissive
setuptools,0.6b1,2006-05-12 22:42:21+00:00,ZPL-2.0,Unknown
setuptools,19.5,2016-01-24 02:27:01.554000+00:00,MIT,Permissive
charset-normalizer,0.1a0,2019-08-02 16:03:53.102000+00:00,MIT,Permissive
google-api-core,0.1.0,2017-10-26 21:59:01.804000+00:00,Apache-2.0,Permissive
idna,0.2,2013-07-16 19:29:45.445000+00:00,BSD-3-Clause,Permissive
certifi,0.0.1,2011-12-28 07:27:42.157000+00:00,ISC,Permissive
certifi,2017.7.27.1,2017-07-27 15:46:22.548000+00:00,MPL-2.0,Weak Copyleft
s3transfer,0.0.1,2016-01-18 22:41:28.648000+00:00,Apache-2.0,Permissive
python-dateutil,1.4,2008-08-06 19:11:48+00:00,Python-2.0,Unknown
python-dateutil,2.1,2012-03-28 18:03:09.506000+00:00,BSD-3-Clause,Permissive
python-dateutil,2.7.0,2018-03-11 23:34:17.867000+00:00,Apache-2.0,Permissive
python-dateutil,2.7.1,2018-03-24 19:08:09.782000+00:00,BSD-3-Clause,Permissive
typing-extensions,3.6.2,2017-09-17 12:25:17.911000+00:00,PSF-2.0,Unknown
six,0.9.2,2010-07-05 00:42:38.202000+00:00,MIT,Permissive
PyYAML,3.10,2011-07-01 22:59:26.759000+00:00,MIT,Permissive
cryptography,0.1,2014-01-08 23:17:39.968000+00:00,Apache-2.0,Permissive
cryptography,0.7,2014-12-18 03:34:27.214000+00:00,BSD-3-Clause,Permissive
awscli,0.4.1,2012-12-21 18:16:31.205000+00:00,MIT,Permissive
awscli,0.4.2,2012-12-21 18:25:59.102000+00:00,Apache-2.0,Permissive
pip,0.2,2008-10-28 17:22:10+00:00,MIT,Permissive
numpy,1.0,2006-12-02 02:07:43+00:00,BSD-3-Clause,Permissive
wheel,0.1,2012-07-01 07:33:22.549000+00:00,MIT,Permissive
packaging,14.0,2014-09-05 00:26:05.098000+00:00,Apache-2.0,Permissive
packaging,16.0,2016-01-19 14:58:40.061000+00:00,BSD-3-Clause,Permissive
jmespath,0.0.1,2013-02-27 16:25:11.416000+00:00,MIT,Permissive
rsa,1.1,2008-04-23 11:27:28+00:00,GPL-3.0-only,Strong Copyleft
rsa,3.0,2011-08-05 10:41:01.119000+00:00,Apache-2.0,Permissive
pyasn1,0.0.9a,2009-11-23 22:41:54.406000+00:00,BSD-3-Clause,Permissive
protobuf,2.0.0beta,2008-07-10 22:36:10+00:00,Apache-2.0,Permissive
protobuf,2.0.3,2008-12-05 22:11:52+00:00,BSD-3-Clause,Permissive
importlib-metadata,0.0,2018-05-17 17:47:55.389000+00:00,Apache-2.0,Permissive
colorama,0.1,2010-04-20 02:02:19.446000+00:00,BSD-3-Clause,Permissive
zipp,0.1.0,2018-11-15 22:03:12.690000+00:00,MIT,Permissive
attrs,15.0.0a1,2015-02-21 10:42:56.582000+00:00,MIT,Permissive
pandas,0.1,2009-12-26 17:14:35.535000+00:00,BSD-3-Clause,Permissive
PyJWT,0.1.1,2011-03-06 21:04:22.736000+00:00,MIT,Permissive
click,0.1,2014-04-28 11:24:09.792000+00:00,BSD-3-Clause,Permissive
pytz,2005k,2005-08-19 06:04:15+00:00,MIT,Permissive
pytz,2004b,2013-10-01 15:18:06.009000+00:00,BSD-3-Clause,Permissive
pytz,2005a,2013-10-01 15:32:15.073000+00:00,MIT,Permissive
cffi,0.1,2012-06-18 14:53:58.813000+00:00,MIT,Permissive
MarkupSafe,0.9,2010-06-22 19:55:49.280000+00:00,BSD-3-Clause,Permissive
Jinja2,2.0rc1,2008-06-09 16:55:06+00:00,BSD-3-Clause,Permissive
pycparser,2.03,2011-03-07 06:07:28.937000+00:00,LGPL-3.0-only,Weak Copyleft
pycparser,2.04,2011-05-21 08:38:58.617000+00:00,BSD-3-Clause,Permissive
aiobotocore,0.0.5,2016-07-01 20:59:19.218000+00:00,Apache-2.0,Permissive
oauthlib,0.0.1,2012-04-11 16:14:11.275000+00:00,BSD-3-Clause,Permissive
docutils,0.3,2013-07-24 05:33:59.144000+00:00,GPL-2.0-only,Strong Copyleft
docutils,0.8,2011-07-08 14:05:26.049000+00:00,BSD-3-Clause,Permissive
google-auth,0.0.1,2016-10-10 20:38:43.846000+00:00,Apache-2.0,Permissive
fsspec,0.1.1,2019-01-02 18:01:16.604000+00:00,BSD-3-Clause,Permissive
googleapis-common-protos,1.0.0,2015-12-16 22:10:46.454000+00:00,Apache-2.0,Permissive
requests-oauthlib,0.2.0,2012-11-23 11:00:33.667000+00:00,ISC,Permissive
sqlalchemy,0.1.0,2006-02-14 03:11:34+00:00,MIT,Permissive
s3fs,0.0.1,2016-03-22 17:53:17.513000+00:00,BSD-3-Clause,Permissive
pyparsing,1.4.6,2007-06-30 14:42:51+00:00,MIT,Permissive
cachetools,0.0.0,2014-03-22 12:06:53.796000+00:00,MIT,Permissive
wrapt,1.0.0,2013-09-06 21:23:22.799000+00:00,BSD-3-Clause,Permissive
grpcio-status,1.16.0,2018-12-11 00:12:44.088000+00:00,Apache-2.0,Permissive
jsonschema,0.1a,2012-01-02 03:52:12.562000+00:00,MIT,Permissive
tomli,0.1.0,2021-05-27 22:20:23.238000+00:00,MIT,Permissive
pyarrow,0.2.0,2017-03-16 22:18:14.139000+00:00,Apache-2.0,Permissive
psutil,0.1.1,2014-02-06 02:06:57.249000+00:00,BSD-3-Clause,Permissive
isodate,0.3.0,2009-01-05 01:07:11+00:00,BSD-3-Clause,Permissive
greenlet,0.1,2006-01-10 03:13:47+00:00,MIT,Permissive
pyasn1-modules,0.0.1a,2011-03-06 15:37:45.289000+00:00,BSD-3-Clause,Permissive
