package,version,date,license,which_tree,dep_name,dep_version,dep_license,is_direct,in_degree,out_degree,layer
amundsen-databuilder,1.5.0,2019-12-13 17:53:41.766000+00:00,Apache-2.0,tree_created,unidecode,1.1.1,GPL-3.0-only,True,1,0,1
amundsen-databuilder,4.0.3,2020-11-03 15:35:38.046000+00:00,Apache-2.0,tree_created,unidecode,1.1.1,GPL-3.0-only,True,1,0,1
amundsen-databuilder,6.4.1,2021-11-29 08:54:57.251000+00:00,Apache-2.0,tree_created,unidecode,1.3.2,GPL-3.0-only,True,1,0,1
amundsen-databuilder,7.4.2,2022-10-03 19:49:37.051000+00:00,Apache-2.0,tree_created,unidecode,1.3.6,GPL-3.0-only,True,1,0,1
ansible-lint,4.0.0,2018-12-18 16:27:47.887000+00:00,MIT,tree_created,ansible,2.7.5,GPL-3.0-or-later,True,1,0,1
ansible-lint,4.2.0,2019-12-04 20:45:53.249000+00:00,MIT,tree_created,ansible,2.9.1,GPL-3.0-or-later,True,1,0,1
ansible-lint,4.3.7,2020-11-03 13:58:44.263000+00:00,MIT,tree_created,ansible,2.10.1,GPL-3.0-or-later,True,1,0,1
ansible-modules-hashivault,3.17.1,2019-04-05 21:45:38.018000+00:00,MIT,tree_created,ansible,2.7.9,GPL-3.0-or-later,True,1,0,1
apache-airflow-providers-mysql,1.0.0,2020-12-14 21:46:57.234000+00:00,Apache-2.0,tree_created,mysqlclient,1.3.14,GPL-3.0-only,True,1,0,1
apache-airflow-providers-mysql,1.0.0,2020-12-14 21:46:57.234000+00:00,Apache-2.0,tree_created,mysql-connector-python,8.0.18,GPL-2.0-only,True,1,1,1
apache-airflow-providers-mysql,2.1.1,2021-09-03 12:51:46.623000+00:00,Apache-2.0,tree_created,mysqlclient,2.0.3,GPL-3.0-only,True,1,0,1
apache-airflow-providers-mysql,2.1.1,2021-09-03 12:51:46.623000+00:00,Apache-2.0,tree_created,mysql-connector-python,8.0.26,GPL-2.0-only,True,1,1,1
apache-airflow-providers-mysql,3.2.1,2022-10-01 14:19:36.210000+00:00,Apache-2.0,tree_created,mysqlclient,2.1.1,GPL-3.0-only,True,1,0,1
apache-airflow-providers-mysql,3.2.1,2022-10-01 14:19:36.210000+00:00,Apache-2.0,tree_created,mysql-connector-python,8.0.30,GPL-2.0-only,True,1,1,1
arviz,0.10.0,2020-09-23 23:29:43.071000+00:00,Apache-2.0,tree_created,cftime,1.2.1,GPL-3.0-only,False,1,1,2
