package,version,compatible_licenses
amundsen-databuilder,1.5.0,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
amundsen-databuilder,4.0.3,"['GPL-3.0-only', 'GPL-3.0-or-later']"
amundsen-databuilder,6.4.1,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
amundsen-databuilder,7.4.2,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
ansible-lint,4.0.0,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
ansible-lint,4.2.0,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
ansible-lint,4.3.7,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
ansible-modules-hashivault,3.17.1,"['GPL-3.0-only', 'GPL-3.0-or-later']"
apache-airflow-providers-mysql,1.0.0,[]
apache-airflow-providers-mysql,2.1.1,[]
apache-airflow-providers-mysql,3.2.1,[]
arviz,0.10.0,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
arviz,0.6.1,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
authlib,0.10,"['MIT', 'BSD-3-Clause', 'Apache-2.0', 'GPL-3.0-only', 'LGPL-3.0-only', 'MPL-2.0', 'ISC', 'LGPL-3.0-or-later', 'GPL-3.0-or-later', 'Unlicense']"
azure-iot-device,2.0.0,['EPL-2.0']
azure-iot-device,2.12.0,['EPL-2.0']
azure-iot-device,2.4.0,['EPL-2.0']
azure-iot-device,2.9.0,['EPL-2.0']
cartoframes,1.0.4,"['GPL-3.0-only', 'GPL-3.0-or-later']"
cartoframes,1.0b7,"['GPL-3.0-only', 'GPL-3.0-or-later']"
cartoframes,1.2.4,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
cibuildwheel,1.1.0,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
cibuildwheel,1.7.2,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
cibuildwheel,2.11.2,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
cibuildwheel,2.3.1,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
confluent-cloud-sdk,0.1.3,"['MIT', 'BSD-3-Clause', 'Apache-2.0', 'GPL-3.0-only', 'LGPL-3.0-only', 'MPL-2.0', 'ISC', 'LGPL-3.0-or-later', 'GPL-3.0-or-later', 'Unlicense']"
cvxpy,0.4.11,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
cvxpy,1.0.25,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
cvxpy,1.1.18,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
cvxpy,1.1.7,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
cvxpy,1.2.2,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
darts,0.15.0,"['GPL-3.0-only', 'GPL-3.0-or-later']"
dataprep,0.4.1,"['GPL-3.0-only', 'GPL-3.0-or-later']"
dedupe,1.8.2,[]
dedupe,1.9.2,[]
dedupe,1.9.7,[]
dedupe,2.0.6,[]
dedupe,2.0.8,[]
dtale,1.6.5,"['GPL-3.0-only', 'GPL-3.0-or-later']"
dvc,0.23.2,[]
dvc,0.78.1,[]
dvc,1.11.9,[]
dvc,2.34.1,[]
dvc,2.9.3,[]
dvc-http,2.19.0,[]
dvclive,0.0.1a1,[]
fbprophet,0.4,"['GPL-3.0-only', 'GPL-3.0-or-later']"
fiftyone,0.14.2,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
fiftyone,0.18.0,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
flex,6.14.0,"['GPL-3.0-only', 'GPL-3.0-or-later']"
formulas,0.0.7,[]
formulas,1.2.0,['EPL-1.0']
formulas,1.2.5,['EPL-1.0']
fuzzytm,0.3.0,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
glean-parser,1.15.5,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
glean-parser,1.29.0,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
glean-parser,4.3.1,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
glean-parser,6.3.0,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
gpiozero,0.9.0,"['GPL-2.0-only', 'GPL-2.0-or-later']"
gradio,0.8.1,"['MIT', 'BSD-3-Clause', 'Apache-2.0', 'GPL-3.0-only', 'LGPL-3.0-only', 'MPL-2.0', 'ISC', 'LGPL-3.0-or-later', 'GPL-3.0-or-later', 'Unlicense']"
halo,0.0.27,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
ihepdirac,2.1.2,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
ihepdirac,2.2.4,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
jiwer,2.5.1,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
libsast,1.3.5,"['MIT', 'BSD-3-Clause', 'Apache-2.0', 'GPL-3.0-only', 'LGPL-3.0-only', 'MPL-2.0', 'ISC', 'LGPL-3.0-or-later', 'GPL-3.0-or-later', 'Unlicense']"
locust-plugins,2.1.1,['EPL-2.0']
locust-plugins,2.6.12,['EPL-2.0']
mbed-tools,4.3.1.dev2,[]
mbed-tools,7.49.1,"['AGPL-3.0-only', 'AGPL-3.0-or-later']"
mbed-tools,7.58.0,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
metaflow,2.2.5,"['GPL-3.0-only', 'GPL-3.0-or-later']"
