package,version,changes,new_tree,run_time,original_tree_size,new_tree_size,error
amundsen-databuilder,1.5.0,"[['Change unidecode version from 1.1.1 to 0.04.6'], ['Migrate unidecode to text-unidecode'], ['Remove unidecode']]","[{'retrying': '1.3.3', 'httplib2': '0.9.2', 'wheel': '0.31.1', 'six': '1.12.0', 'py': '1.5.3', 'flake8': '3.5.0', 'attrs': '18.1.0', 'neotime': '1.7.1', 'elasticsearch': '6.4.0', 'unidecode': '0.04.6', 'flake8-tidy-imports': '1.1.0', 'pyparsing': '2.2.0', 'more-itertools': '4.2.0', 'typing': '3.6.4', 'pytest-mock': '1.13.0', 'sqlalchemy': '1.3.11', 'pytest': '3.10.1', 'pluggy': '0.13.1', 'neo4j-driver': '1.7.2', 'statsd': '3.2.1', 'pytz': '2018.4', 'mock': '2.0.0', 'atomicwrites': '1.1.5', 'pytest-cov': '2.8.1', 'pyflakes': '1.6.0', 'pycodestyle': '2.3.1', 'mccabe': '0.6.1', 'setuptools': '42.0.2', 'coverage': '4.5.4'}, {'retrying': '1.3.3', 'httplib2': '0.9.2', 'wheel': '0.31.1', 'six': '1.12.0', 'py': '1.5.3', 'flake8': '3.5.0', 'attrs': '18.1.0', 'neotime': '1.7.1', 'elasticsearch': '6.4.0', 'flake8-tidy-imports': '1.1.0', 'pyparsing': '2.2.0', 'more-itertools': '4.2.0', 'typing': '3.6.4', 'pytest-mock': '1.13.0', 'sqlalchemy': '1.3.11', 'pytest': '3.10.1', 'pluggy': '0.13.1', 'neo4j-driver': '1.7.2', 'statsd': '3.2.1', 'pytz': '2018.4', 'mock': '2.0.0', 'atomicwrites': '1.1.5', 'pytest-cov': '2.8.1', 'text-unidecode': '1.3', 'pyflakes': '1.6.0', 'pycodestyle': '2.3.1', 'mccabe': '0.6.1', 'setuptools': '42.0.2', 'coverage': '4.5.4'}, {'retrying': '1.3.3', 'httplib2': '0.9.2', 'wheel': '0.31.1', 'six': '1.12.0', 'py': '1.5.3', 'flake8': '3.5.0', 'attrs': '18.1.0', 'neotime': '1.7.1', 'elasticsearch': '6.4.0', 'flake8-tidy-imports': '1.1.0', 'pyparsing': '2.2.0', 'more-itertools': '4.2.0', 'typing': '3.6.4', 'pytest-mock': '1.13.0', 'sqlalchemy': '1.3.11', 'pytest': '3.10.1', 'pluggy': '0.13.1', 'neo4j-driver': '1.7.2', 'statsd': '3.2.1', 'pytz': '2018.4', 'mock': '2.0.0', 'atomicwrites': '1.1.5', 'pytest-cov': '2.8.1', 'pyflakes': '1.6.0', 'pycodestyle': '2.3.1', 'mccabe': '0.6.1', 'setuptools': '42.0.2', 'coverage': '4.5.4'}]",53.661720514297485,29.0,29.0,
amundsen-databuilder,4.0.3,"[['Change unidecode version from 1.1.1 to 0.04.6'], ['Migrate unidecode to text-unidecode'], ['Remove unidecode']]","[{'pandas': '1.1.4', 'retrying': '1.3.3', 'statsd': '3.3.0', 'pytz': '2020.4', 'jinja2': '2.11.2', 'requests': '2.24.0', 'pyhocon': '0.3.56', 'elasticsearch': '6.8.1', 'unidecode': '0.04.6', 'neo4j-driver': '1.7.6', 'python-dateutil': '2.8.1', 'numpy': '1.19.4', 'markupsafe': '1.1.1', 'chardet': '3.0.4', 'idna': '2.10', 'urllib3': '1.25.11', 'certifi': '2020.4.5.2', 'six': '1.15.0'}, {'pandas': '1.1.4', 'retrying': '1.3.3', 'statsd': '3.3.0', 'pytz': '2020.4', 'jinja2': '2.11.2', 'requests': '2.24.0', 'pyhocon': '0.3.56', 'elasticsearch': '6.8.1', 'neo4j-driver': '1.7.6', 'text-unidecode': '1.3', 'python-dateutil': '2.8.1', 'numpy': '1.19.4', 'markupsafe': '1.1.1', 'chardet': '3.0.4', 'idna': '2.10', 'urllib3': '1.25.11', 'certifi': '2020.4.5.2', 'six': '1.15.0'}, {'pandas': '1.1.4', 'retrying': '1.3.3', 'statsd': '3.3.0', 'pytz': '2020.4', 'jinja2': '2.11.2', 'requests': '2.24.0', 'pyhocon': '0.3.56', 'elasticsearch': '6.8.1', 'neo4j-driver': '1.7.6', 'python-dateutil': '2.8.1', 'numpy': '1.19.4', 'markupsafe': '1.1.1', 'chardet': '3.0.4', 'idna': '2.10', 'urllib3': '1.25.11', 'certifi': '2020.4.5.2', 'six': '1.15.0'}]",49.13159489631653,18.0,18.0,
amundsen-databuilder,6.4.1,"[['Change unidecode version from 1.3.2 to 0.04.6', 'Change amundsen-rds version from 0.0.6 to 0.0.2'], ['Change amundsen-rds version from 0.0.6 to 0.0.2', 'Migrate unidecode to text-unidecode'], ['Change amundsen-rds version from 0.0.6 to 0.0.2', 'Remove unidecode'], ['Change unidecode version from 1.3.2 to 0.04.6', 'Remove amundsen-rds'], ['Remove amundsen-rds', 'Migrate unidecode to text-unidecode']]","[{'retrying': '1.3.3', 'httplib2': '0.20.2', 'wheel': '0.37.0', 'amundsen-common': '0.23.0', 'py': '1.11.0', 'pandas': '1.1.5', 'unicodecsv': '0.14.1', 'neotime': '1.7.3', 'requests': '2.26.0', 'elasticsearch': '7.15.2', 'unidecode': '0.04.6', 'amundsen-rds': '0.0.2', 'jinja2': '3.0.2', 'pyparsing': '3.0.6', 'more-itertools': '8.12.0', 'pyhocon': '0.3.59', 'sqlalchemy': '1.4.27', 'pluggy': '1.0.0', 'neo4j-driver': '1.7.6', 'freezegun': '1.1.0', 'statsd': '3.3.0', 'pytz': '2021.3', 'responses': '0.16.0', 'atomicwrites': '1.4.0', 'flask': '2.0.2', 'attrs': '21.2.0', 'marshmallow': '3.14.1', 'python-dateutil': '2.8.2', 'numpy': '1.21.4', 'urllib3': '1.26.7', 'certifi': '2021.10.8', 'charset-normalizer': '2.0.8', 'idna': '3.3', 'markupsafe': '2.0.1', 'greenlet': '1.1.2', 'six': '1.16.0', 'werkzeug': '2.0.2', 'itsdangerous': '2.0.1', 'click': '8.0.3'}, {'retrying': '1.3.3', 'httplib2': '0.20.2', 'wheel': '0.37.0', 'amundsen-common': '0.23.0', 'py': '1.11.0', 'pandas': '1.1.5', 'unicodecsv': '0.14.1', 'neotime': '1.7.3', 'requests': '2.26.0', 'elasticsearch': '7.15.2', 'amundsen-rds': '0.0.2', 'jinja2': '3.0.2', 'pyparsing': '3.0.6', 'more-itertools': '8.12.0', 'pyhocon': '0.3.59', 'sqlalchemy': '1.4.27', 'pluggy': '1.0.0', 'neo4j-driver': '1.7.6', 'freezegun': '1.1.0', 'statsd': '3.3.0', 'pytz': '2021.3', 'responses': '0.16.0', 'atomicwrites': '1.4.0', 'text-unidecode': '1.3', 'flask': '2.0.2', 'attrs': '21.2.0', 'marshmallow': '3.14.1', 'python-dateutil': '2.8.2', 'numpy': '1.21.4', 'urllib3': '1.26.7', 'certifi': '2021.10.8', 'charset-normalizer': '2.0.8', 'idna': '3.3', 'markupsafe': '2.0.1', 'greenlet': '1.1.2', 'six': '1.16.0', 'werkzeug': '2.0.2', 'itsdangerous': '2.0.1', 'click': '8.0.3'}, {'retrying': '1.3.3', 'httplib2': '0.20.2', 'wheel': '0.37.0', 'amundsen-common': '0.23.0', 'py': '1.11.0', 'pandas': '1.1.5', 'unicodecsv': '0.14.1', 'neotime': '1.7.3', 'requests': '2.26.0', 'elasticsearch': '7.15.2', 'amundsen-rds': '0.0.2', 'jinja2': '3.0.2', 'pyparsing': '3.0.6', 'more-itertools': '8.12.0', 'pyhocon': '0.3.59', 'sqlalchemy': '1.4.27', 'pluggy': '1.0.0', 'neo4j-driver': '1.7.6', 'freezegun': '1.1.0', 'statsd': '3.3.0', 'pytz': '2021.3', 'responses': '0.16.0', 'atomicwrites': '1.4.0', 'flask': '2.0.2', 'attrs': '21.2.0', 'marshmallow': '3.14.1', 'python-dateutil': '2.8.2', 'numpy': '1.21.4', 'urllib3': '1.26.7', 'certifi': '2021.10.8', 'charset-normalizer': '2.0.8', 'idna': '3.3', 'markupsafe': '2.0.1', 'greenlet': '1.1.2', 'six': '1.16.0', 'werkzeug': '2.0.2', 'itsdangerous': '2.0.1', 'click': '8.0.3'}, {'retrying': '1.3.3', 'httplib2': '0.20.2', 'wheel': '0.37.0', 'amundsen-common': '0.23.0', 'py': '1.11.0', 'pandas': '1.1.5', 'unicodecsv': '0.14.1', 'neotime': '1.7.3', 'requests': '2.26.0', 'elasticsearch': '7.15.2', 'unidecode': '0.04.6', 'jinja2': '3.0.2', 'pyparsing': '3.0.6', 'more-itertools': '8.12.0', 'pyhocon': '0.3.59', 'sqlalchemy': '1.4.27', 'pluggy': '1.0.0', 'neo4j-driver': '1.7.6', 'freezegun': '1.1.0', 'statsd': '3.3.0', 'pytz': '2021.3', 'responses': '0.16.0', 'atomicwrites': '1.4.0', 'flask': '2.0.2', 'attrs': '21.2.0', 'marshmallow': '3.14.1', 'python-dateutil': '2.8.2', 'numpy': '1.21.4', 'urllib3': '1.26.7', 'certifi': '2021.10.8', 'charset-normalizer': '2.0.8', 'idna': '3.3', 'markupsafe': '2.0.1', 'greenlet': '1.1.2', 'six': '1.16.0', 'werkzeug': '2.0.2', 'itsdangerous': '2.0.1', 'click': '8.0.3'}, {'retrying': '1.3.3', 'httplib2': '0.20.2', 'wheel': '0.37.0', 'amundsen-common': '0.23.0', 'py': '1.11.0', 'pandas': '1.1.5', 'unicodecsv': '0.14.1', 'neotime': '1.7.3', 'requests': '2.26.0', 'elasticsearch': '7.15.2', 'jinja2': '3.0.2', 'pyparsing': '3.0.6', 'more-itertools': '8.12.0', 'pyhocon': '0.3.59', 'sqlalchemy': '1.4.27', 'pluggy': '1.0.0', 'neo4j-driver': '1.7.6', 'freezegun': '1.1.0', 'statsd': '3.3.0', 'pytz': '2021.3', 'responses': '0.16.0', 'atomicwrites': '1.4.0', 'text-unidecode': '1.3', 'flask': '2.0.2', 'attrs': '21.2.0', 'marshmallow': '3.14.1', 'python-dateutil': '2.8.2', 'numpy': '1.21.4', 'urllib3': '1.26.7', 'certifi': '2021.10.8', 'charset-normalizer': '2.0.8', 'idna': '3.3', 'markupsafe': '2.0.1', 'greenlet': '1.1.2', 'six': '1.16.0', 'werkzeug': '2.0.2', 'itsdangerous': '2.0.1', 'click': '8.0.3'}]",139.16664242744446,41.0,39.0,
amundsen-databuilder,7.4.2,"[['Migrate unidecode to text-unidecode'], ['Change unidecode version from 1.3.6 to 0.04.6'], ['Remove unidecode']]","[{'retrying': '1.3.3', 'httplib2': '0.20.4', 'wheel': '0.37.0', 'amundsen-common': '0.27.1', 'py': '1.11.0', 'pandas': '1.4.3', 'unicodecsv': '0.14.1', 'jsonref': '0.2', 'requests': '2.28.1', 'elasticsearch': '7.17.6', 'amundsen-rds': '0.0.7', 'jinja2': '3.1.2', 'pyparsing': '3.0.9', 'more-itertools': '8.14.0', 'pyhocon': '0.3.59', 'sqlalchemy': '1.4.41', 'pluggy': '1.0.0', 'neo4j-driver': '4.4.7', 'freezegun': '1.2.2', 'statsd': '3.3.0', 'pytz': '2022.4', 'responses': '0.20.0', 'elasticsearch-dsl': '7.4.0', 'atomicwrites': '1.4.1', 'text-unidecode': '1.3', 'flask': '2.2.2', 'attrs': '22.1.0', 'marshmallow': '3.17.1', 'marshmallow3-annotations': '1.1.0', 'python-dateutil': '2.8.2', 'numpy': '1.23.3', 'charset-normalizer': '2.1.0', 'idna': '3.3', 'urllib3': '1.26.12', 'certifi': '2022.9.24', 'alembic': '1.8.0', 'markupsafe': '2.1.1', 'greenlet': '1.1.3', 'six': '1.16.0', 'werkzeug': '2.2.2', 'itsdangerous': '2.1.1', 'click': '8.1.3', 'importlib-metadata': '5.0.0', 'packaging': '21.3', 'mako': '1.2.3', 'importlib-resources': '5.4.0', 'zipp': '3.8.1'}, {'retrying': '1.3.3', 'httplib2': '0.20.4', 'wheel': '0.37.0', 'amundsen-common': '0.27.1', 'py': '1.11.0', 'pandas': '1.4.3', 'unicodecsv': '0.14.1', 'jsonref': '0.2', 'requests': '2.28.1', 'elasticsearch': '7.17.6', 'unidecode': '0.04.6', 'amundsen-rds': '0.0.7', 'jinja2': '3.1.2', 'pyparsing': '3.0.9', 'more-itertools': '8.14.0', 'pyhocon': '0.3.59', 'sqlalchemy': '1.4.41', 'pluggy': '1.0.0', 'neo4j-driver': '4.4.7', 'freezegun': '1.2.2', 'statsd': '3.3.0', 'pytz': '2022.4', 'responses': '0.20.0', 'elasticsearch-dsl': '7.4.0', 'atomicwrites': '1.4.1', 'flask': '2.2.2', 'attrs': '22.1.0', 'marshmallow': '3.17.1', 'marshmallow3-annotations': '1.1.0', 'python-dateutil': '2.8.2', 'numpy': '1.23.3', 'charset-normalizer': '2.1.0', 'idna': '3.3', 'urllib3': '1.26.12', 'certifi': '2022.9.24', 'alembic': '1.8.0', 'markupsafe': '2.1.1', 'greenlet': '1.1.3', 'six': '1.16.0', 'werkzeug': '2.2.2', 'itsdangerous': '2.1.1', 'click': '8.1.3', 'importlib-metadata': '5.0.0', 'packaging': '21.3', 'mako': '1.2.3', 'importlib-resources': '3.1.1', 'zipp': '3.8.1'}, {'retrying': '1.3.3', 'httplib2': '0.20.4', 'wheel': '0.37.0', 'amundsen-common': '0.27.1', 'py': '1.11.0', 'pandas': '1.4.3', 'unicodecsv': '0.14.1', 'jsonref': '0.2', 'requests': '2.28.1', 'elasticsearch': '7.17.6', 'amundsen-rds': '0.0.7', 'jinja2': '3.1.2', 'pyparsing': '3.0.9', 'more-itertools': '8.14.0', 'pyhocon': '0.3.59', 'sqlalchemy': '1.4.41', 'pluggy': '1.0.0', 'neo4j-driver': '4.4.7', 'freezegun': '1.2.2', 'statsd': '3.3.0', 'pytz': '2022.4', 'responses': '0.20.0', 'elasticsearch-dsl': '7.4.0', 'atomicwrites': '1.4.1', 'flask': '2.2.2', 'attrs': '22.1.0', 'marshmallow': '3.17.1', 'marshmallow3-annotations': '1.1.0', 'python-dateutil': '2.8.2', 'numpy': '1.23.3', 'charset-normalizer': '2.1.0', 'idna': '3.3', 'urllib3': '1.26.12', 'certifi': '2022.9.24', 'alembic': '1.8.0', 'markupsafe': '2.1.1', 'greenlet': '1.1.3', 'six': '1.16.0', 'werkzeug': '2.2.2', 'itsdangerous': '2.1.1', 'click': '8.1.3', 'importlib-metadata': '5.0.0', 'packaging': '21.3', 'mako': '1.2.3', 'importlib-resources': '5.2.3', 'zipp': '3.8.1'}]",174.1672065258026,46.0,47.0,
ansible-lint,4.0.0,[['Remove ansible']],"[{'six': '1.12.0', 'pyyaml': '3.13'}]",8.769857168197632,3.0,2.0,
ansible-lint,4.2.0,[['Remove ansible']],"[{'ruamel.yaml': '0.16.5', 'six': '1.12.0', 'pyyaml': '5.2'}]",12.856838703155518,4.0,3.0,
ansible-lint,4.3.7,"[['Change ruamel.yaml version from 0.16.12 to 0.16.10', 'Remove ansible'], ['Migrate ruamel.yaml to pyyaml', 'Remove ansible']]","[{'rich': '9.0.1', 'ruamel.yaml': '0.16.10', 'pyyaml': '5.3.1', 'typing-extensions': '3.7.4.3', 'pygments': '2.7.2', 'commonmark': '0.9.1', 'colorama': '0.4.4'}, {'rich': '9.0.1', 'pyyaml': '5.3.1', 'typing-extensions': '3.7.4.3', 'pygments': '2.7.2', 'commonmark': '0.9.1', 'colorama': '0.4.4'}]",7.727032899856567,8.0,7.0,
ansible-modules-hashivault,3.17.1,[['Remove ansible']],"[{'hvac': '0.8.2', 'requests': '2.21.0', 'chardet': '3.0.4', 'idna': '2.8', 'urllib3': '1.24.1', 'certifi': '2019.3.9'}]",6.365782022476196,7.0,6.0,
apache-airflow-providers-mysql,1.0.0,"[['Change apache-airflow version from 2.0.0rc3 to 2.0.0b3', 'Change sqlalchemy-jsonfield version from 1.0.0 to 0.9.0', 'Migrate mysqlclient to pymysql', 'Remove mysql-connector-python'], ['Change apache-airflow version from 2.0.0rc3 to 2.0.0b3', 'Change sqlalchemy-jsonfield version from 1.0.0 to 0.9.0', 'Remove mysqlclient', 'Remove mysql-connector-python'], ['Migrate mysqlclient to pymysql', 'Remove mysql-connector-python', 'Remove apache-airflow'], ['Remove mysqlclient', 'Remove mysql-connector-python', 'Remove apache-airflow']]","[{'apache-airflow': '2.0.0b3', 'pymysql': '0.8.1', 'alembic': '1.4.3', 'argcomplete': '1.12.2', 'attrs': '20.3.0', 'cached-property': '1.5.2', 'colorlog': '4.0.2', 'croniter': '0.3.36', 'cryptography': '3.3.1', 'dill': '0.3.3', 'flask': '1.1.2', 'flask-appbuilder': '3.1.1', 'flask-caching': '1.9.0', 'flask-login': '0.4.0', 'flask-swagger': '0.2.13', 'flask-wtf': '0.14.3', 'funcsigs': '1.0.2', 'graphviz': '0.15', 'gunicorn': '19.10.0', 'iso8601': '0.1.13', 'jinja2': '2.11.2', 'json-merge-patch': '0.2', 'jsonschema': '3.2.0', 'lazy-object-proxy': '1.4.3', 'lockfile': '0.12.2', 'markdown': '3.3.3', 'markupsafe': '1.1.1', 'marshmallow-oneofschema': '2.1.0', 'pandas': '1.1.5', 'pendulum': '2.1.2', 'psutil': '5.7.3', 'pygments': '2.7.3', 'python-daemon': '2.2.4', 'python-dateutil': '2.8.1', 'python-nvd3': '0.15.0', 'python-slugify': '4.0.0', 'requests': '2.23.0', 'rich': '9.2.0', 'setproctitle': '1.2.1', 'sqlalchemy': '1.3.20', 'sqlalchemy-jsonfield': '0.9.0', 'tabulate': '0.8.7', 'tenacity': '6.2.0', 'termcolor': '1.1.0', 'thrift': '0.13.0', 'tzlocal': '1.5.1', 'unicodecsv': '0.14.1', 'werkzeug': '1.0.1', 'cattrs': '1.1.2', 'mako': '1.1.3', 'python-editor': '1.0.4', 'natsort': '7.1.0', 'six': '1.15.0', 'cffi': '1.14.4', 'itsdangerous': '1.1.0', 'click': '7.1.2', 'colorama': '0.4.4', 'email-validator': '1.1.2', 'flask-babel': '1.0.0', 'flask-openid': '1.2.5', 'flask-sqlalchemy': '2.4.3', 'flask-jwt-extended': '3.25.0', 'marshmallow': '3.9.1', 'marshmallow-enum': '1.5.1', 'marshmallow-sqlalchemy': '0.23.1', 'prison': '0.1.3', 'sqlalchemy-utils': '0.36.8', 'wtforms': '2.3.2', 'pyrsistent': '0.17.3', 'setuptools': '51.0.0', 'pytz': '2020.4', 'numpy': '1.19.4', 'pytzdata': '2020.1', 'docutils': '0.16', 'chardet': '3.0.4', 'idna': '2.10', 'urllib3': '1.25.11', 'certifi': '2020.12.5', 'typing-extensions': '3.7.4.3', 'commonmark': '0.9.1', 'pycparser': '2.20', 'dnspython': '1.15.0', 'babel': '2.9.0'}, {'apache-airflow': '2.0.0b3', 'alembic': '1.4.3', 'argcomplete': '1.12.2', 'attrs': '20.3.0', 'cached-property': '1.5.2', 'colorlog': '4.0.2', 'croniter': '0.3.36', 'cryptography': '3.3.1', 'dill': '0.3.3', 'flask': '1.1.2', 'flask-appbuilder': '3.1.1', 'flask-caching': '1.9.0', 'flask-login': '0.4.0', 'flask-swagger': '0.2.13', 'flask-wtf': '0.14.3', 'funcsigs': '1.0.2', 'graphviz': '0.15', 'gunicorn': '19.10.0', 'iso8601': '0.1.13', 'jinja2': '2.11.2', 'json-merge-patch': '0.2', 'jsonschema': '3.2.0', 'lazy-object-proxy': '1.4.3', 'lockfile': '0.12.2', 'markdown': '3.3.3', 'markupsafe': '1.1.1', 'marshmallow-oneofschema': '2.1.0', 'pandas': '1.1.5', 'pendulum': '2.1.2', 'psutil': '5.7.3', 'pygments': '2.7.3', 'python-daemon': '2.2.4', 'python-dateutil': '2.8.1', 'python-nvd3': '0.15.0', 'python-slugify': '4.0.0', 'requests': '2.23.0', 'rich': '9.2.0', 'setproctitle': '1.2.1', 'sqlalchemy': '1.3.20', 'sqlalchemy-jsonfield': '0.9.0', 'tabulate': '0.8.7', 'tenacity': '6.2.0', 'termcolor': '1.1.0', 'thrift': '0.13.0', 'tzlocal': '1.5.1', 'unicodecsv': '0.14.1', 'werkzeug': '1.0.1', 'cattrs': '1.1.2', 'mako': '1.1.3', 'python-editor': '1.0.4', 'natsort': '7.1.0', 'six': '1.15.0', 'cffi': '1.14.4', 'itsdangerous': '1.1.0', 'click': '7.1.2', 'colorama': '0.4.4', 'email-validator': '1.1.2', 'flask-babel': '1.0.0', 'flask-openid': '1.2.5', 'flask-sqlalchemy': '2.4.3', 'flask-jwt-extended': '3.25.0', 'marshmallow': '3.9.1', 'marshmallow-enum': '1.5.1', 'marshmallow-sqlalchemy': '0.23.1', 'prison': '0.1.3', 'sqlalchemy-utils': '0.36.8', 'wtforms': '2.3.2', 'pyrsistent': '0.17.3', 'setuptools': '51.0.0', 'pytz': '2020.4', 'numpy': '1.19.4', 'pytzdata': '2020.1', 'docutils': '0.16', 'chardet': '3.0.4', 'idna': '2.10', 'urllib3': '1.25.11', 'certifi': '2020.12.5', 'typing-extensions': '3.7.4.3', 'commonmark': '0.9.1', 'pycparser': '2.20', 'dnspython': '1.15.0', 'babel': '2.9.0'}, {'pymysql': '0.8.1'}, {}]",46.25174355506897,87.0,83.0,
apache-airflow-providers-mysql,2.1.1,"[['Change flask version from 2.0.1 to 1.1.2', 'Change jinja2 version from 3.0.1 to 2.11.3', 'Change markupsafe version from 2.0.1 to 1.1.1', 'Migrate mysqlclient to pymysql', 'Remove mysql-connector-python'], ['Change apache-airflow version from 2.1.3 to 2.0.0b1', 'Remove mysqlclient', 'Remove mysql-connector-python'], ['Remove mysqlclient', 'Remove mysql-connector-python', 'Remove apache-airflow']]","[{'apache-airflow': '2.1.3', 'pymysql': '0.8.1', 'alembic': '1.7.1', 'argcomplete': '1.12.2', 'attrs': '20.3.0', 'blinker': '1.4', 'clickclick': '20.10.2', 'colorlog': '6.4.1', 'croniter': '1.0.15', 'cryptography': '3.4.8', 'dill': '0.3.4', 'docutils': '0.16', 'flask': '1.1.2', 'flask-appbuilder': '3.3.2', 'flask-caching': '1.10.1', 'flask-login': '0.4.0', 'flask-wtf': '0.14.3', 'graphviz': '0.17', 'gunicorn': '20.1.0', 'httpx': '0.19.0', 'importlib-resources': '1.5.0', 'inflection': '0.5.1', 'iso8601': '0.1.16', 'itsdangerous': '1.1.0', 'jinja2': '2.11.3', 'jsonschema': '3.2.0', 'lazy-object-proxy': '1.6.0', 'lockfile': '0.12.2', 'markdown': '3.3.4', 'markupsafe': '1.1.1', 'marshmallow-oneofschema': '3.0.1', 'openapi-spec-validator': '0.3.1', 'pendulum': '2.1.2', 'psutil': '5.8.0', 'pygments': '2.10.0', 'pyjwt': '1.6.4', 'python-daemon': '2.3.0', 'python-dateutil': '2.8.2', 'python-nvd3': '0.15.0', 'python-slugify': '4.0.0', 'python3-openid': '3.2.0', 'pyyaml': '5.4.1', 'rich': '10.9.0', 'setproctitle': '1.2.2', 'sqlalchemy': '1.3.24', 'sqlalchemy-jsonfield': '1.0.0', 'swagger-ui-bundle': '0.0.8', 'tabulate': '0.8.9', 'tenacity': '6.2.0', 'termcolor': '1.1.0', 'unicodecsv': '0.14.1', 'werkzeug': '1.0.1', 'apache-airflow-providers-ftp': '2.0.1', 'apache-airflow-providers-http': '2.0.1', 'apache-airflow-providers-imap': '2.0.0', 'apache-airflow-providers-sqlite': '2.0.0', 'importlib-metadata': '2.0.0', 'cattrs': '1.6.0', 'numpy': '1.21.2', 'pandas': '1.3.2', 'mako': '1.1.5', 'cffi': '1.14.6', 'click': '8.0.1', 'colorama': '0.4.4', 'email-validator': '1.1.3', 'flask-babel': '1.0.0', 'flask-openid': '1.2.5', 'flask-sqlalchemy': '2.5.1', 'flask-jwt-extended': '3.25.1', 'marshmallow': '3.13.0', 'marshmallow-enum': '1.5.1', 'marshmallow-sqlalchemy': '0.23.1', 'prison': '0.2.1', 'sqlalchemy-utils': '0.37.8', 'wtforms': '2.3.2', 'setuptools': '57.4.0', 'certifi': '2021.5.30', 'charset-normalizer': '2.0.4', 'sniffio': '1.2.0', 'httpcore': '0.13.6', 'pyrsistent': '0.18.0', 'six': '1.16.0', 'openapi-schema-validator': '0.1.5', 'pytzdata': '2020.1', 'defusedxml': '0.7.1', 'commonmark': '0.9.1', 'requests': '2.26.0', 'pytz': '2021.1', 'pycparser': '2.20', 'dnspython': '1.15.0', 'idna': '3.2', 'babel': '2.9.1', 'h11': '0.11.0', 'anyio': '3.3.0', 'isodate': '0.6.0', 'urllib3': '1.26.6'}, {'apache-airflow': '2.0.0b1'}, {}]",86.5206024646759,98.0,96.0,
